Type,Group,item,inference,answer,condition_name,condition,dialog1,dialog2,dialog3,answer1,answer2,
exp,A,1,i,Bare,iBare_1,detention,"In my son’s private school, students get detention for not wearing their tie.","Oh, my son goes to a private school, and I know he didn’t wear his tie today.","Well, if he didn’t wear his tie, ...",... he had detention.,... he must have had detention,
exp,B,1,d,Bare,dBare_1,detention,"In my son’s private school, students get detention for not wearing their tie.","Oh, my son goes to the same school and I know he didn’t wear his tie this morning.","Well, if he didn’t wear his tie, ...",... he had detention.,... he must have had detention,
exp,C,1,a,Bare,aBare_1,detention,I heard John broke the school dress code again.,"Oh, he missed practice after school today.","Well, if he wasn’t at practice, ...",... he had detention.,... he must have had detention,
exp,C,2,i,Bare,iBare_2,Ethics,At Capital Bank financial advisors do ethics training every two years.,"Oh, my wife is a financial advisor at another bank, and she’s been there 2+ years","Well, if she's been here for over two years, ...",... she completed ethics training.,... she must have completed ethics training,
exp,A,2,d,Bare,dBare_2,Ethics,At Capital Bank financial advisors do ethics training every two years.,"Oh, my wife is a financial advisor at that bank, and she’s been there 2+ years.","Well, if she's been here for over two years, ...",... she completed ethics training.,... she must have completed ethics training,
exp,B,2,a,Bare,aBare_2,Ethics,Freya is giving us a presentation on corporate ethics tomorrow. ,"Oh, I heard she was promoted to the compliance committee.","Well, if she was promoted to the compliance committee, ...",... she completed ethics training.,... she must have completed ethics training,
exp,B,3,i,Bare,iBare_3,Health club,"At Apex Fitness, all receptionists take a first aid course.","Oh, my friend is a receptionist at another gym, and she just started working solo shifts.","Well, if your friend is working solo shifts, ...",... she took a first aid course.,... she must have taken a first aid course,
exp,C,3,d,Bare,dBare_3,Health club,"At Apex Fitness, all receptionists take a first aid course.","Oh, my friend is a receptionist at that gym, and she just started working solo shifts.","Well, if your friend is working solo shifts, ...",... she took a first aid course.,... she must have taken a first aid course,
exp,A,3,a,Bare,aBare_3,Health club,Laura helped a gym member with a dislocated shoulder yesterday.,I heard she knew how to immobilize the shoulder until the medics arrived.,"Well, if she knew how to immobilize the shoulder, ...",... she took a first aid course.,... she must have taken a first aid course,
exp,A,4,i,Bare,iBare_4,Hospice,"At my grandma's hospice, employees wearing perfume must shower immediately.","Oh, my sister is a nurse at another hospice and she was recently caught wearing perfume.","Well, if she was caught wearing perfume, ...",... she was required to shower.,... she must have been required to shower,
exp,B,4,d,Bare,dBare_4,Hospice,"At my grandma's hospice, employees wearing perfume must shower immediately.","Oh, my sister is a nurse at that same hospice and she was recently caught wearing perfume.","Well, if she was caught wearing perfume, ...",... she was required to shower.,... she must have been required to shower,
exp,C,4,a,Bare,aBare_4,Hospice,Laura took her break earlier than usual this afternoon.,I heard a patient threw up on her during her shift,"Well, if a patient threw up on her, ...",... she was required to shower.,... she must have been required to shower,
exp,C,5,i,Bare,iBare_5,Production,"At Silverline Productions, all on-set crew sign a non-disclosure agreement.","Oh, my wife is a makeup artist and she worked on-set for another production company recently.","Well, if she worked on set, ...",... she signed a non-dislosure agreement.,... she must have signed a non-disclosure agreement,
exp,A,5,d,Bare,dBare_5,Production,"At Silverline Productions, all on-set crew sign a non-disclosure agreement.","Oh, my wife is a makeup artist and she worked on-set for that production company recently.","Well, if she worked on set, ...",... she signed a non-dislosure agreement.,... she must have signed a non-disclosure agreement,
exp,B,5,a,Bare,aBare_5,Production,Paula's new acting job sounds like a big deal!,I heard she won’t even tell her family what character she plays.,"Well, if she won’t even tell her family the character she plays, ...",... she signed a non-dislosure agreement.,... she must have signed a non-disclosure agreement,
exp,B,6,i,Bare,iBare_6,Trouble,"At Oakridge College, students caught vaping are sent to the Office of Student Conduct.","Oh, my sister goes to another college, and she got caught vaping on campus recently.","Well, if she was caught vaping on campus, ...",... she was reported to the Office of Student Conduct.,... she must have been reported to the Office of Student Conduct.,
exp,C,6,d,Bare,dBare_6,Trouble,"At Oakridge College, students caught vaping are sent to the Office of Student Conduct.","Oh, my sister goes to that college too, and she got caught vaping on campus recently.","Well, if she was caught vaping on campus, ...",... she was reported to the Office of Student Conduct.,... she must have been reported to the Office of Student Conduct.,
exp,A,6,a,Bare,aBare_6,Trouble,I saw Lola leaving the Dean’s office looking really upset.,I heard she was involved in that incident at the library last week.,"Well, if she was involved in that incident at the library, ...",... she was reported to the Office of Student Conduct.,... she must have been reported to the Office of Student Conduct.,
filler,A,1027,i,,filler_i,safety helmets,"At my engineering firm, employees caught without safety helmets are suspended.","Oh, my husband works at another engineering firm, and he got caught without his helmet last week.","Well, if he got caught without his helmet, ...",... he was probably suspended.,... he will have been suspended,Probably / will
filler,A,1026,i,,filler_i,lacrosse woes,"On my lacrosse team, athletes who miss 4 practices are put on academic probation.","Oh, my boyfriend is on another lacrosse team, and he missed 4 practices","Well, if he missed that many practices, ...",... he was probably put on academic probation.,... he has to have been put on academic probation.,probably / have to
filler,A,1025,i,,filler_i,gen ed ,"At my university, undergrads must complete 40 credits to join the study abroad program.","Oh, my friend is an undergrad at another university, and she got into the study abroad program.","Well, if she got accepted into the study abroad program, ...",... she will have completed all her gen ed requirements.,... she has to have completed all her gen ed requirements,will / have to
filler,A,1024,a,,filler_a,team-building,"After the audit last week, Chris was demoted. ",I heard he used up the entire employee engagement budget in 9 months.,"Well, if he spent the entire engagement budget so quickly, ...",... it probably triggered an automatic review.,... it will have triggered an automatic review,Probably / will
filler,A,1023,a,,filler_a,Overtime,Luke’s been coming home really late this week.,I heard he's working on a big project at work.,"Well, if he's got a big project, ...",... he's probably been pulling overtime. ,... he has to have been pulling overtime. ,probably / have to
filler,A,1022,a,,filler_a,pharma inspection,Bob’s employees had to work late in the lab yesterday.,I heard the lab he manages is being considered for Humane Research Facility Certification.,"Well, if his lab is up for a Humane Research Facility Certification, ...",... his lab will have been subject to an animal welfare inspection yesterday.,... his lab has to have been subject to an animal welfare inspection yesterday.,will / have to
filler,B,1027,i,,filler_i,safety helmets,"At my engineering firm, employees caught without safety helmets are suspended.","Oh, my husband works at another engineering firm, and he got caught without his helmet last week.","Well, if he got caught without his helmet, ...",... he was probably suspended.,... he will have been suspended,Probably / will
filler,B,1026,i,,filler_i,lacrosse woes,"On my lacrosse team, athletes who miss 4 practices are put on academic probation.","Oh, my boyfriend is on another lacrosse team, and he missed 4 practices","Well, if he missed that many practices, ...",... he was probably put on academic probation.,... he has to have been put on academic probation.,probably / have to
filler,B,1025,i,,filler_i,gen ed ,"At my university, undergrads must complete 40 credits to join the study abroad program.","Oh, my friend is an undergrad at another university, and she got into the study abroad program.","Well, if she got accepted into the study abroad program, ...",... she will have completed all her gen ed requirements.,... she has to have completed all her gen ed requirements,will / have to
filler,B,1024,a,,filler_a,team-building,"After the audit last week, Chris was demoted. ",I heard he used up the entire employee engagement budget in 9 months.,"Well, if he spent the entire engagement budget so quickly, ...",... it probably triggered an automatic review.,... it will have triggered an automatic review,Probably / will
filler,B,1023,a,,filler_a,Overtime,Luke’s been coming home really late this week.,I heard he's working on a big project at work.,"Well, if he's got a big project, ...",... he's probably been pulling overtime. ,... he has to have been pulling overtime. ,probably / have to
filler,B,1022,a,,filler_a,pharma inspection,Bob’s employees had to work late in the lab yesterday.,I heard the lab he manages is being considered for Humane Research Facility Certification.,"Well, if his lab is up for a Humane Research Facility Certification, ...",... his lab will have been subject to an animal welfare inspection yesterday.,... his lab has to have been subject to an animal welfare inspection yesterday.,will / have to
filler,C,1027,i,,filler_i,safety helmets,"At my engineering firm, employees caught without safety helmets are suspended.","Oh, my husband works at another engineering firm, and he got caught without his helmet last week.","Well, if he got caught without his helmet, ...",... he was probably suspended.,... he will have been suspended,Probably / will
filler,C,1026,i,,filler_i,lacrosse woes,"On my lacrosse team, athletes who miss 4 practices are put on academic probation.","Oh, my boyfriend is on another lacrosse team, and he missed 4 practices","Well, if he missed that many practices, ...",... he was probably put on academic probation.,... he has to have been put on academic probation.,probably / have to
filler,C,1025,i,,filler_i,gen ed ,"At my university, undergrads must complete 40 credits to join the study abroad program.","Oh, my friend is an undergrad at another university, and she got into the study abroad program.","Well, if she got accepted into the study abroad program, ...",... she will have completed all her gen ed requirements.,... she has to have completed all her gen ed requirements,will / have to
filler,C,1024,a,,filler_a,team-building,"After the audit last week, Chris was demoted. ",I heard he used up the entire employee engagement budget in 9 months.,"Well, if he spent the entire engagement budget so quickly, ...",... it probably triggered an automatic review.,... it will have triggered an automatic review,Probably / will
filler,C,1023,a,,filler_a,Overtime,Luke’s been coming home really late this week.,I heard he's working on a big project at work.,"Well, if he's got a big project, ...",... he's probably been pulling overtime. ,... he has to have been pulling overtime. ,probably / have to
filler,C,1022,a,,filler_a,pharma inspection,Bob’s employees had to work late in the lab yesterday.,I heard the lab he manages is being considered for Humane Research Facility Certification.,"Well, if his lab is up for a Humane Research Facility Certification, ...",... his lab will have been subject to an animal welfare inspection yesterday.,... his lab has to have been subject to an animal welfare inspection yesterday.,will / have to
check,A,2001,d,,check_1d,check_1d,The metro closes at 3 a.m. every night.,"Oh, I walked past a metro station last night at 2 a.m.","Well, if it was 2 a.m., ...",... the metro was open. ,... the metro was closed. ,answer1
check,A,2002,d,,check_2d,check_2d,Robots must complete the course in under 7 mins to qualify for the competition.,"Oh, my friend entered that competition, and her robot finished in 5 minutes.","Well, if her robot took 7 minutes, ...",... she will qualify for the competition.,... she will be disqualified from the competition.,answer2
check,A,2003,d,,check_3d,check_3d,You need at least 80% on the final exam to pass the driving test.,"Oh, my cousin took the test last week and scored 75%.","Well, if he scored 75%, ...",... he failed the test.,... he passed the test.,answer1
check,A,2004,d,,check_4d,check_4d,The machine is on whenever the power light is blue.,"Oh, I just checked, and the power light is blue.","Well, if the power switch is blue, ...",... the machine is off.,... the machine is on.,answer2
check,B,2001,d,,check_1d,check_1d,The metro closes at 3 a.m. every night.,"Oh, I walked past a metro station last night at 2 a.m.","Well, if was 2 a.m., ...",... the metro was open. ,... the metro was closed. ,answer1
