Type,Group,item,inference,answer,condition_name,condition,dialog1,dialog2,dialog3,answer1,answer2,
exp,A,1,i,Prob,iProb_1,detention,"In my son’s private school, students get detention for breaking the dress code.","Oh, my step-son goes to a private school, and I know he didn’t wear his tie today.","Well, if he didn’t wear his tie, ...",... he probably had detention.,... he must have had detention.,
exp,B,1,d,Prob,dProb_1,detention,"In my son’s private school, students always get detention for not wearing their tie.","Oh, my step-son goes to the same school and I know he didn’t wear his tie this morning.","Well, if he didn’t wear his tie, ...",... he probably had detention.,... he must have had detention.,
exp,C,1,a,Prob,aProb_1,detention,I heard John broke the school dress code again.,"Oh, he missed practice after school today.","Well, if he wasn’t at practice, ...",... he probably had detention.,... he must have had detention.,
exp,C,2,i,Prob,iProb_2,Ethics,"At Atlas Capital Bank, where my wife works, financial advisors do ethics training every two years.","Oh, my girlfriend is a financial advisor at another bank, and she’s been there over two years.","Well, if she's been here for over two years, ...",... she probably completed ethics training.,... she must have completed ethics training.,
exp,A,2,d,Prob,dProb_2,Ethics,"At Atlas Capital Bank, where my wife works, financial advisors do ethics training every two years.","Oh, my girlfriend is a financial advisor at that same bank, and she’s been working there for over two years.","Well, if she's been here for over two years, ...",... she probably completed ethics training.,... she must have completed ethics training.,
exp,B,2,a,Prob,aProb_2,Ethics,Freya is giving us a presentation on corporate ethics tomorrow. ,"Oh, I heard she was promoted to the compliance committee.","Well, if she was promoted to the compliance committee, ...",... she probably completed ethics training.,... she must have completed ethics training.,
exp,B,3,i,Prob,iProb_3,Health club,"My roommate works at Apex Fitness Club, where receptionists take a first aid course before working solo shifts.","Oh, my friend is a receptionist at another health club, and she just started solo shifts.","Well, if your friend is working solo shifts, ...",... she probably took a first aid course.,... she must have taken a first aid course.,
exp,C,3,d,Prob,dProb_3,Health club,"My roommate works at Apex Fitness Club, where receptionists take a first aid course before working solo shifts.","Oh, my friend is a receptionist at that same health club, and she just started solo shifts.","Well, if your friend is working solo shifts, ...",... she probably took a first aid course.,... she must have taken a first aid course.,
exp,A,3,a,Prob,aProb_3,Health club,Laura helped a gym member with a dislocated shoulder yesterday.,I heard she knew how to immobilize the shoulder until the medics arrived.,"Well, if she knew how to immobilize the shoulder, ...",... she probably took a first aid course.,... she must have taken a first aid course.,
exp,A,4,i,Prob,iProb_4,Hospice,"At my grandmother’s hospice, employees wearing perfume must shower right away.","Oh, my sister is a nurse at another hospice and was recently caught wearing perfume.","Well, if she was caught wearing perfume, ...",... she was probably required to shower.,... she must have been required to shower.,
exp,B,4,d,Prob,dProb_4,Hospice,"At my grandmother’s hospice, employees wearing perfume must shower right away.","Oh, my sister just started as a nurse at that same hospice and was caught wearing perfume.","Well, if she was caught wearing perfume, ...",... she was probably required to shower.,... she must have been required to shower.,
exp,C,4,a,Prob,aProb_4,Hospice,Laura took her break earlier than usual this afternoon.,I heard a patient threw up on her during her shift,"Well, if a patient threw up on her, ...",... she was probably required to shower.,... she must have been required to shower.,
exp,C,5,i,Prob,iProb_5,Production,My boyfriend’s production company makes all on-set crew sign a non-disclosure agreement.,"Oh, my girlfriend is a makeup artist and worked on-set for another production company recently.","Well, if she worked on set, ...",... she probably signed a non-dislosure agreement.,... she must have signed a non-disclosure agreement.,
exp,A,5,d,Prob,dProb_5,Production,My boyfriend’s production company makes all on-set crew sign a non-disclosure agreement.,"Oh, my girlfriend is a makeup artist and worked on-set for that production company recently.","Well, if she worked on set, ...",... she probably signed a non-dislosure agreement.,... she must have signed a non-disclosure agreement.,
exp,B,5,a,Prob,aProb_5,Production,Paula's new acting job sounds like a big deal!,I heard she won’t even tell her family what character she plays.,"Well, if she won’t even tell her family the character she plays, ...",... she probably signed a non-dislosure agreement.,... she must have signed a non-disclosure agreement.,
exp,B,6,i,Prob,iProb_6,Trouble,"At my brother’s college, students caught smoking or vaping are sent to the Office of Student Conduct.","Oh, my sister goes to another college, and she got caught vaping on campus recently.","Well, if she was caught vaping on campus, ...",... she was probably reported to OSC.,... she must have been reported to OSC.,
exp,C,6,d,Prob,dProb_6,Trouble,"At my brother’s college, students caught smoking or vaping are sent to the Office of Student Conduct.","Oh, my sister goes to that college too, and she got caught vaping on campus recently.","Well, if she was caught vaping on campus, ...",... she was probably reported to OSC.,... she must have been reported to OSC.,
