Type,Group,item,inference,answer,condition_name,condition,dialog1,dialog2,dialog3,answer1,answer2,
exp,A,1,i,Will,iWill_1,detention,"In my son’s private school, students get detention for breaking the dress code.","Oh, my step-son goes to a private school, and I know he didn’t wear his tie today.","Well, if he didn’t wear his tie, ...",... he will have had detention.,... he must have had detention.,
exp,B,1,d,Will,dWill_1,detention,"In my son’s private school, students always get detention for not wearing their tie.","Oh, my step-son goes to the same school and I know he didn’t wear his tie this morning.","Well, if he didn’t wear his tie, ...",... he will have had detention.,... he must have had detention.,
exp,C,1,a,Will,aWill_1,detention,I heard John broke the school dress code again.,"Oh, he missed practice after school today.","Well, if he wasn’t at practice, ...",... he will have had detention.,... he must have had detention.,
exp,C,2,i,Will,iWill_2,Ethics,"At Atlas Capital Bank, where my wife works, financial advisors do ethics training every two years.","Oh, my girlfriend is a financial advisor at another bank, and she’s been there over two years.","Well, if she's been here for over two years, ...",... she will have completed ethics training.,... she must have completed ethics training.,
exp,A,2,d,Will,dWill_2,Ethics,"At Atlas Capital Bank, where my wife works, financial advisors do ethics training every two years.","Oh, my girlfriend is a financial advisor at that same bank, and she’s been working there for over two years.","Well, if she's been here for over two years, ...",... she will have completed ethics training.,... she must have completed ethics training.,
exp,B,2,a,Will,aWill_2,Ethics,Freya is giving us a presentation on corporate ethics tomorrow. ,"Oh, I heard she was promoted to the compliance committee.","Well, if she was promoted to the compliance committee, ...",... she will have completed ethics training.,... she must have completed ethics training.,
exp,B,3,i,Will,iWill_3,Health club,"My roommate works at Apex Fitness Club, where receptionists take a first aid course before working solo shifts.","Oh, my friend is a receptionist at another health club, and she just started solo shifts.","Well, if your friend is working solo shifts, ...",... she will have taken a first aid course.,... she must have taken a first aid course.,
exp,C,3,d,Will,dWill_3,Health club,"My roommate works at Apex Fitness Club, where receptionists take a first aid course before working solo shifts.","Oh, my friend is a receptionist at that same health club, and she just started solo shifts.","Well, if your friend is working solo shifts, ...",... she will have taken a first aid course.,... she must have taken a first aid course.,
exp,A,3,a,Will,aWill_3,Health club,Laura helped a gym member with a dislocated shoulder yesterday.,I heard she knew how to immobilize the shoulder until the medics arrived.,"Well, if she knew how to immobilize the shoulder, ...",... she will have taken a first aid course.,... she must have taken a first aid course.,
exp,A,4,i,Will,iWill_4,Hospice,"At my grandmother’s hospice, employees wearing perfume must shower right away.","Oh, my sister is a nurse at another hospice and was recently caught wearing perfume.","Well, if she was caught wearing perfume, ...",... she will have been required to shower.,... she must have been required to shower.,
exp,B,4,d,Will,dWill_4,Hospice,"At my grandmother’s hospice, employees wearing perfume must shower right away.","Oh, my sister just started as a nurse at that same hospice and was caught wearing perfume.","Well, if she was caught wearing perfume, ...",... she will have been required to shower.,... she must have been required to shower.,
exp,C,4,a,Will,aWill_4,Hospice,Laura took her break earlier than usual this afternoon.,I heard a patient threw up on her during her shift,"Well, if a patient threw up on her, ...",... she will have been required to shower.,... she must have been required to shower.,
exp,C,5,i,Will,iWill_5,Production,My boyfriend’s production company makes all on-set crew sign a non-disclosure agreement.,"Oh, my girlfriend is a makeup artist and worked on-set for another production company recently.","Well, if she worked on set, ...",... she will have signed a non-dislosure agreement.,... she must have signed a non-disclosure agreement.,
exp,A,5,d,Will,dWill_5,Production,My boyfriend’s production company makes all on-set crew sign a non-disclosure agreement.,"Oh, my girlfriend is a makeup artist and worked on-set for that production company recently.","Well, if she worked on set, ...",... she will have signed a non-dislosure agreement.,... she must have signed a non-disclosure agreement.,
exp,B,5,a,Will,aWill_5,Production,Paula's new acting job sounds like a big deal!,I heard she won’t even tell her family what character she plays.,"Well, if she won’t even tell her family the character she plays, ...",... she will have signed a non-dislosure agreement.,... she must have signed a non-disclosure agreement.,
exp,B,6,i,Will,iWill_6,Trouble,"At my brother’s college, students caught smoking or vaping are sent to the Office of Student Conduct.","Oh, my sister goes to another college, and she got caught vaping on campus recently.","Well, if she was caught vaping on campus, ...",... she will have been reported to OSC.,... she must have been reported to OSC.,
exp,C,6,d,Will,dWill_6,Trouble,"At my brother’s college, students caught smoking or vaping are sent to the Office of Student Conduct.","Oh, my sister goes to that college too, and she got caught vaping on campus recently.","Well, if she was caught vaping on campus, ...",... she will have been reported to OSC.,... she must have been reported to OSC.,
exp,A,6,a,Will,aWill_6,Trouble,I saw Lola leaving the Dean’s office looking really upset.,I heard she was involved in that incident at the library last week.,"Well, if she was involved in that incident at the library, ...",... she will have been reported to the Office of Student Conduct.,... she must have been reported to OSC.,
filler,A,1027,i,,filler_i,safety helmets,"At my dad’s engineering firm, employees without safety helmets are suspended.","Oh, my brother-in-law works at another engineering firm, and he got caught not wearing his helmet last week.","Well, if he got caught without his helmet, ...",... he was suspended.,... he has to have been suspended.,bare / have to
filler,A,1026,i,,filler_i,lacrosse woes,"On my university lacrosse team, scholarship athletes who miss 4+ practices without approval are put on academic probation.","Oh, my roommate is a lacrosse scholarship athlete at another university, and last year he missed over 4 practices to hang out with his girlfriend.","Well, if he missed that many practices, ...",... he was probably put on academic probation.,... he has to have been put on academic probation.,probably / have to
filler,A,1025,i,,filler_i,gen ed ,"At my sister’s university, undergrads must finish their general education requirements to join the study abroad program.","Oh, my friend Jenna is an undergrad at another university, and she recently got accepted into her study abroad program.","Well, if she got accepted into the study abroad program, ...",... she completed all her gen ed requirements.,... she probably completed all her gen ed requirements.,bare / probably
filler,A,1024,a,,filler_a,team-building,Chris was demoted last week after the audit.,I heard he used up the entire employee engagement budget in under 9 months.,"Well, if he spent the entire employee engagement budget so quickly, ...",... it triggered an automatic review.,... it has to have triggered an automatic review.,bare / have to
filler,A,1023,a,,filler_a,Overtime,Luke’s been coming home really late this week.,I heard he's working on a big project at work.,"Well, if he's got a big project, ...",... he's probably been pulling overtime.,... he has to have been pulling overtime.,probably / have to
filler,A,1022,a,,filler_a,pharma inspection,Bob’s employees had to work late in the lab yesterday.,I heard the lab he manages is being considered for a Humane Research Facility Certification.,"Well, if his lab is up for a Humane Research Facility Certification, ...",... his lab has been subject to a surprise animal wellfare inspection yesterday.,... his lab was probably subject to an animal wellfare inspection yesterday. ,bare / probably
filler,B,1027,i,,filler_i,safety helmets,"At my dad’s engineering firm, employees without safety helmets are suspended.","Oh, my brother-in-law works at another engineering firm, and he got caught not wearing his helmet last week.","Well, if he got caught without his helmet, ...",... he was suspended.,... he has to have been suspended.,bare / have to
filler,B,1026,i,,filler_i,lacrosse woes,"On my university lacrosse team, scholarship athletes who miss 4+ practices without approval are put on academic probation.","Oh, my roommate is a lacrosse scholarship athlete at another university, and last year he missed over 4 practices to hang out with his girlfriend.","Well, if he missed that many practices, ...",... he was probably put on academic probation.,... he has to have been put on academic probation.,probably / have to
filler,B,1025,i,,filler_i,gen ed ,"At my sister’s university, undergrads must finish their general education requirements to join the study abroad program.","Oh, my friend Jenna is an undergrad at another university, and she recently got accepted into her study abroad program.","Well, if she got accepted into the study abroad program, ...",... she completed all her gen ed requirements.,... she probably completed all her gen ed requirements.,bare / probably
filler,B,1024,a,,filler_a,team-building,Chris was demoted last week after the audit.,I heard he used up the entire employee engagement budget in under 9 months.,"Well, if he spent the entire employee engagement budget so quickly, ...",... it triggered an automatic review.,... it has to have triggered an automatic review.,bare / have to
filler,B,1023,a,,filler_a,Overtime,Luke’s been coming home really late this week.,I heard he's working on a big project at work.,"Well, if he's got a big project, ...",... he's probably been pulling overtime.,... he has to have been pulling overtime.,probably / have to
filler,B,1022,a,,filler_a,pharma inspection,Bob’s employees had to work late in the lab yesterday.,I heard the lab he manages is being considered for a Humane Research Facility Certification.,"Well, if his lab is up for a Humane Research Facility Certification, ...",... his lab has been subject to a surprise animal wellfare inspection yesterday,... his lab was probably subject to an animal wellfare inspection yesterday. ,bare / probably
filler,C,1027,i,,filler_i,safety helmets,"At my dad’s engineering firm, employees without safety helmets are suspended.","Oh, my brother-in-law works at another engineering firm, and he got caught not wearing his helmet last week.","Well, if he got caught without his helmet, ...",... he was suspended.,... he has to have been suspended.,bare / have to
filler,C,1026,i,,filler_i,lacrosse woes,"On my university lacrosse team, scholarship athletes who miss 4+ practices without approval are put on academic probation.","Oh, my roommate is a lacrosse scholarship athlete at another university, and last year he missed over 4 practices to hang out with his girlfriend.","Well, if he missed that many practices, ...",... he was probably put on academic probation.,... he has to have been put on academic probation.,probably / have to
filler,C,1025,i,,filler_i,gen ed ,"At my sister’s university, undergrads must finish their general education requirements to join the study abroad program.","Oh, my friend Jenna is an undergrad at another university, and she recently got accepted into her study abroad program.","Well, if she got accepted into the study abroad program, ...",... she completed all her gen ed requirements.,... she probably completed all her gen ed requirements,bare / probably
filler,C,1024,a,,filler_a,team-building,Chris was demoted last week after the audit.,I heard he used up the entire employee engagement budget in under 9 months.,"Well, if he spent the entire employee engagement budget so quickly, ...",... it triggered an automatic review.,... it has to have triggered an automatic review.,bare / have to
filler,C,1023,a,,filler_a,Overtime,Luke’s been coming home really late this week.,I heard he's working on a big project at work.,"Well, if he's got a big project, ...",... he's probably been pulling overtime.,... he has to have been pulling overtime.,probably / have to
filler,C,1022,a,,filler_a,pharma inspection,Bob’s employees had to work late in the lab yesterday.,I heard the lab he manages is being considered for a Humane Research Facility Certification.,"Well, if his lab is up for a Humane Research Facility Certification, ...",... his lab has been subject to a surprise animal wellfare inspection yesterday.,... his lab was probably subject to an animal wellfare inspection yesterday. ,bare / probably
check,A,2001,d,,check_1d,check_1d,The metro closes at 3 a.m. and only reopens at 5 a.m.,"Oh, I walked past a metro station last night at 2 a.m.","Well, if it was 2 a.m., ...",... the metro was open. ,... the metro was closed. ,answer1
check,A,2002,d,,check_2d,check_2d,Robots must finish the obstacle course in under 5 minutes to qualify for the robotics competition.,"Oh, my friend entered that competition, and I know her robot finished the course in 7 minutes.","Well, if her robot took 7 minutes, ...",... she will qualify for the competition.,... she will be disqualified from the competition.,answer2
check,A,2003,d,,check_3d,check_3d,You need at least 80% on the final exam to pass the driving test.,"Oh, my cousin took the test last week and scored 75%.","Well, if he scored 75%, ...",... he failed the test.,... he passed the test.,answer1
check,A,2004,d,,check_4d,check_4d,The machine is on whenever the power light is blue.,"Oh, I just checked, and the power light is blue.","Well, if the power switch is blue, ...",... the machine is off.,... the machine is on.,answer2
check,B,2001,d,,check_1d,check_1d,The metro closes at 3 a.m. and only reopens at 5 a.m.,"Oh, I walked past a metro station last night at 2 a.m.","Well, if was 2 a.m., ...",... the metro was open. ,... the metro was closed. ,answer1
check,B,2002,d,,check_2d,check_2d,Robots must finish the obstacle course in under 5 minutes to qualify for the robotics competition.,"Oh, my friend entered that competition, and I know her robot finished the course in 7 minutes.","Well, if her robot took 7 minutes, ...",... she will qualify for the competition.,... she will be disqualified from the competition.,answer2
check,B,2003,d,,check_3d,check_3d,You need at least 80% on the final exam to pass the driving test.,"Oh, my cousin took the test last week and scored 75%.","Well, if he scored 75%, ...",... he failed the test.,... he passed the test.,answer1
